Financial Benchmarks India Pvt Ltd
Reference Rates
Date,Time,Currency Pairs,Rate,Comments
13 Nov 2025,1:00:00 PM,INR / 1 USD,88.716,
13 Nov 2025,1:00:00 PM,INR / 1 GBP,116.393,
13 Nov 2025,1:00:00 PM,INR / 1 EUR,102.764,
13 Nov 2025,1:00:00 PM,INR / 100 JPY,57.26,
12 Nov 2025,1:00:00 PM,INR / 1 USD,88.6362,
12 Nov 2025,1:00:00 PM,INR / 1 GBP,116.455,
12 Nov 2025,1:00:00 PM,INR / 1 EUR,102.643,
12 Nov 2025,1:00:00 PM,INR / 100 JPY,57.31,
11 Nov 2025,1:00:00 PM,INR / 1 USD,88.6983,
11 Nov 2025,1:00:00 PM,INR / 1 GBP,116.805,
11 Nov 2025,1:00:00 PM,INR / 1 EUR,102.544,
11 Nov 2025,1:00:00 PM,INR / 100 JPY,57.53,
10 Nov 2025,1:00:00 PM,INR / 1 USD,88.6761,
10 Nov 2025,1:00:00 PM,INR / 1 GBP,116.656,
10 Nov 2025,1:00:00 PM,INR / 1 EUR,102.534,
10 Nov 2025,1:00:00 PM,INR / 100 JPY,57.59,
07 Nov 2025,1:00:00 PM,INR / 1 USD,88.705,
07 Nov 2025,1:00:00 PM,INR / 1 GBP,116.37,
07 Nov 2025,1:00:00 PM,INR / 1 EUR,102.304,
07 Nov 2025,1:00:00 PM,INR / 100 JPY,57.81,
06 Nov 2025,1:00:00 PM,INR / 1 USD,88.6026,
06 Nov 2025,1:00:00 PM,INR / 1 GBP,115.751,
06 Nov 2025,1:00:00 PM,INR / 1 EUR,101.982,
06 Nov 2025,1:00:00 PM,INR / 100 JPY,57.58,
04 Nov 2025,1:00:00 PM,INR / 1 USD,88.6372,
04 Nov 2025,1:00:00 PM,INR / 1 GBP,116.317,
04 Nov 2025,1:00:00 PM,INR / 1 EUR,102.139,
04 Nov 2025,1:00:00 PM,INR / 100 JPY,57.72,
03 Nov 2025,1:00:00 PM,INR / 1 USD,88.7932,
03 Nov 2025,1:00:00 PM,INR / 1 GBP,116.698,
03 Nov 2025,1:00:00 PM,INR / 1 EUR,102.434,
03 Nov 2025,1:00:00 PM,INR / 100 JPY,57.59,
31 Oct 2025,1:00:00 PM,INR / 1 USD,88.7241,
31 Oct 2025,1:00:00 PM,INR / 1 GBP,116.695,
31 Oct 2025,1:00:00 PM,INR / 1 EUR,102.674,
31 Oct 2025,1:00:00 PM,INR / 100 JPY,57.61,
30 Oct 2025,1:00:00 PM,INR / 1 USD,88.6048,
30 Oct 2025,1:00:00 PM,INR / 1 GBP,116.981,
30 Oct 2025,1:00:00 PM,INR / 1 EUR,102.975,
30 Oct 2025,1:00:00 PM,INR / 100 JPY,57.76,
29 Oct 2025,1:00:00 PM,INR / 1 USD,88.2834,
29 Oct 2025,1:00:00 PM,INR / 1 GBP,116.871,
29 Oct 2025,1:00:00 PM,INR / 1 EUR,102.677,
29 Oct 2025,1:00:00 PM,INR / 100 JPY,57.99,
28 Oct 2025,1:00:00 PM,INR / 1 USD,88.296,
28 Oct 2025,1:00:00 PM,INR / 1 GBP,117.962,
28 Oct 2025,1:00:00 PM,INR / 1 EUR,102.96,
28 Oct 2025,1:00:00 PM,INR / 100 JPY,58.09,
27 Oct 2025,1:00:00 PM,INR / 1 USD,88.0637,
27 Oct 2025,1:00:00 PM,INR / 1 GBP,117.393,
27 Oct 2025,1:00:00 PM,INR / 1 EUR,102.416,
27 Oct 2025,1:00:00 PM,INR / 100 JPY,57.58,
24 Oct 2025,1:00:00 PM,INR / 1 USD,87.7058,
24 Oct 2025,1:00:00 PM,INR / 1 GBP,116.849,
24 Oct 2025,1:00:00 PM,INR / 1 EUR,101.789,
24 Oct 2025,1:00:00 PM,INR / 100 JPY,57.33,
23 Oct 2025,1:00:00 PM,INR / 1 USD,87.9474,
